statusCode,requestResponseLatency,requestTime,responseTime,requestId
429,1461,1567709868443,1567709869904,1DK1GCDMH
429,364,1567709869543,1567709869907,1DK1HG1K5
200,11522,1567709858543,1567709870065,1DK1CSN28
429,731,1567709869645,1567709870376,1DK1KLSJ6
429,1834,1567709868543,1567709870377,1DK1G7H60
429,1734,1567709868643,1567709870377,1DK1LLFTI
429,1135,1567709869243,1567709870378,1DK1KGMDO
429,1035,1567709869343,1567709870378,1DK1GBH4P
429,935,1567709869443,1567709870378,1DK1GMFNR
429,536,1567709869843,1567709870379,1DK1DA9UJ
200,12136,1567709858343,1567709870479,1DK1L0D80
429,1086,1567709872843,1567709873929,1DK1D6KQ4
429,5675,1567709869043,1567709874718,1DK1HB566
429,8676,1567709869143,1567709877819,1DK1E78RN
200,11170,1567709866743,1567709877913,1DK1L9DJL
429,9287,1567709868843,1567709878130,1DK1F4K6G
429,9188,1567709868943,1567709878131,1DK1M1PKQ
429,8188,1567709869943,1567709878131,1DK1K87SM
429,8388,1567709869743,1567709878131,1DK1GFH42
429,584,1567709879843,1567709880427,1DK1DV5MV
429,724,1567709880343,1567709881067,1DK1K7FRM
429,1141,1567709879943,1567709881084,1DK1LJP66
429,927,1567709880243,1567709881170,1DK1GMT7Q
429,427,1567709880743,1567709881170,1DK1KAQS9
429,708,1567709881743,1567709882451,1DK1FJ4LO
429,609,1567709881843,1567709882452,1DK1GSHQ3
429,1333,1567709881143,1567709882476,1DK1EVAF9
429,1234,1567709881243,1567709882477,1DK1K8LR9
429,1034,1567709881443,1567709882477,1DK1DIEF9
429,672,1567709882143,1567709882815,1DK1CLDUF
429,1490,1567709881343,1567709882833,1DK1G8EDB
429,1290,1567709881543,1567709882833,1DK1GL3KM
429,591,1567709882243,1567709882834,1DK1LD196
429,791,1567709882043,1567709882834,1DK1FE72Q
429,491,1567709882343,1567709882834,1DK1D19A9
429,952,1567709881943,1567709882895,1DK1G1IVF
429,14840,1567709868143,1567709882983,1DK1FEPAT
429,860,1567709882443,1567709883303,1DK1M10ET
429,761,1567709882543,1567709883304,1DK1EMJBG
429,684,1567709883043,1567709883727,1DK1IS1HR
429,886,1567709882843,1567709883729,1DK1IU0H6
429,1232,1567709882643,1567709883875,1DK1HK3BT
429,2239,1567709881643,1567709883882,1DK1KAUGB
200,10306,1567709873743,1567709884049,1DK1DMU9S
429,4055,1567709880143,1567709884198,1DK1E203M
429,1519,1567709882943,1567709884462,1DK1HV2KH
429,926,1567709883544,1567709884470,1DK1KC6TQ
429,1326,1567709883243,1567709884569,1DK1K4HL3
429,1226,1567709883343,1567709884569,1DK1DF941
429,872,1567709883743,1567709884615,1DK1D6S4V
429,672,1567709883943,1567709884615,1DK1KJIDC
429,849,1567709883843,1567709884692,1DK1DB5C4
429,2964,1567709882743,1567709885707,1DK1DSPIC
429,2565,1567709883143,1567709885708,1DK1ES4QA
429,2266,1567709883443,1567709885709,1DK1E29NA
200,20887,1567709865043,1567709885930,1DK1LCRTQ
429,5288,1567709880643,1567709885931,1DK1LOJ3O
429,709,1567709885943,1567709886652,1DK1I6OPI
429,609,1567709886043,1567709886652,1DK1FORLC
429,519,1567709886143,1567709886662,1DK1M1US8
429,651,1567709886343,1567709886994,1DK1E7DCS
429,551,1567709886443,1567709886994,1DK1EHF6O
429,1007,1567709886543,1567709887550,1DK1LP5RR
429,912,1567709886643,1567709887555,1DK1K0QGU
429,860,1567709886943,1567709887803,1DK1KJ1R5
429,862,1567709887343,1567709888205,1DK1DFIKI
429,2595,1567709885643,1567709888238,1DK1D4CUS
429,697,1567709887743,1567709888440,1DK1GR2TK
429,1202,1567709887643,1567709888845,1DK1GH0TC
429,1302,1567709887543,1567709888845,1DK1KAPBI
429,1402,1567709887443,1567709888845,1DK1CV766
429,3660,1567709885343,1567709889003,1DK1FKOP2
429,3461,1567709885543,1567709889004,1DK1F3FK9
429,2261,1567709886743,1567709889004,1DK1M4SCK
429,759,1567709888343,1567709889102,1DK1JVNB9
429,9196,1567709880043,1567709889239,1DK1EKFPO
429,8801,1567709880443,1567709889244,1DK1D1RIP
429,8702,1567709880543,1567709889245,1DK1IFM07
429,771,1567709888744,1567709889515,1DK1E1QKH
429,673,1567709888843,1567709889516,1DK1GM38L
429,910,1567709889043,1567709889953,1DK1KB16D
200,17276,1567709872743,1567709890019,1DK1G2G0T
429,3087,1567709888043,1567709891130,1DK1L8QUN
429,3757,1567709888143,1567709891900,1DK1GE3JI
429,3658,1567709888243,1567709891901,1DK1HF7FB
429,3459,1567709888443,1567709891902,1DK1GAQJ1
429,3359,1567709888543,1567709891902,1DK1EKLBL
429,4156,1567709887843,1567709891999,1DK1M2UD9
429,4057,1567709887943,1567709892000,1DK1FBE9K
429,7194,1567709885443,1567709892637,1DK1HAFHD
429,6894,1567709885743,1567709892637,1DK1HT2MN
429,6394,1567709886243,1567709892637,1DK1KUU03
429,5594,1567709887043,1567709892637,1DK1IHIDH
429,5395,1567709887243,1567709892638,1DK1J6VKP
429,5496,1567709887143,1567709892639,1DK1EO9MR
429,4263,1567709888643,1567709892906,1DK1ET6SJ
429,4342,1567709889243,1567709893585,1DK1LN8PD
429,6907,1567709888943,1567709895850,1DK1EC369
200,24001,1567709873843,1567709897844,1DK1IT98L
200,20905,1567709879743,1567709900648,1DK1FKG62
200,25064,1567709879043,1567709904107,1DK1FHR52
200,11439,1567709893443,1567709904882,1DK1EIS5A
429,765,1567709904445,1567709905210,1DK1FRDA2
429,931,1567709905246,1567709906177,1DK1CV345
429,690,1567709905545,1567709906235,1DK1FP7HH
429,515,1567709905945,1567709906460,1DK1KUF87
429,1015,1567709906045,1567709907060,1DK1FKEPU
429,934,1567709906645,1567709907579,1DK1LAAVD
200,22359,1567709885243,1567709907602,1DK1HTDNO
429,764,1567709906945,1567709907709,1DK1CQGB8
429,593,1567709907146,1567709907739,1DK1J1P0K
429,956,1567709907445,1567709908401,1DK1F2FKS
429,557,1567709907845,1567709908402,1DK1IMH6G
429,530,1567709908145,1567709908675,1DK1FNOCR
429,1208,1567709907646,1567709908854,1DK1F8KE3
429,1285,1567709908045,1567709909330,1DK1DM6AE
429,304,1567709909046,1567709909350,1DK1KKS01
429,706,1567709908645,1567709909351,1DK1I9LK6
429,886,1567709908547,1567709909433,1DK1HLMIR
429,2103,1567709907545,1567709909648,1DK1H4469
429,1243,1567709908847,1567709910090,1DK1KSP9L
429,922,1567709909745,1567709910667,1DK1E17KT
429,965,1567709910045,1567709911010,1DK1M4RFK
429,1255,1567709910245,1567709911500,1DK1GR3IM
429,2427,1567709909146,1567709911573,1DK1FSEST
429,865,1567709911045,1567709911910,1DK1LGA2B
429,992,1567709911345,1567709912337,1DK1FNJ6L
429,2212,1567709910345,1567709912557,1DK1G4GTB
429,2713,1567709909845,1567709912558,1DK1GOCMD
429,2913,1567709909645,1567709912558,1DK1FVPQK
429,871,1567709911746,1567709912617,1DK1L8HR8
200,15777,1567709897343,1567709913120,1DK1EFESL
429,1590,1567709911946,1567709913536,1DK1ECNPG
429,1078,1567709912545,1567709913623,1DK1DSL8R
429,508,1567709913146,1567709913654,1DK1KSSNV
429,886,1567709912946,1567709913832,1DK1EILKE
429,1410,1567709912447,1567709913857,1DK1CN7BB
429,865,1567709913745,1567709914610,1DK1IB02S
429,1657,1567709913046,1567709914703,1DK1IIQA7
429,2084,1567709912645,1567709914729,1DK1M3A27
429,520,1567709914447,1567709914967,1DK1J6D31
429,692,1567709915045,1567709915737,1DK1LF489
429,1029,1567709914845,1567709915874,1DK1DI0EU
429,762,1567709915345,1567709916107,1DK1KA4CC
429,882,1567709915245,1567709916127,1DK1IS7H9
429,1037,1567709915146,1567709916183,1DK1JF476
429,1222,1567709915445,1567709916667,1DK1CM5AO
429,278,1567709917445,1567709917723,1DK1FRBJL
429,1929,1567709915945,1567709917874,1DK1GHGUS
429,1026,1567709917045,1567709918071,1DK1EJHSV
429,588,1567709917945,1567709918533,1DK1K8381
429,188,1567709918345,1567709918533,1DK1CRG5J
429,911,1567709918045,1567709918956,1DK1EC5B1
200,9642,1567709909446,1567709919088,1DK1EL6K1
429,944,1567709918645,1567709919589,1DK1LIIQ7
429,545,1567709919146,1567709919691,1DK1ITNCJ
429,680,1567709919045,1567709919725,1DK1IQSE2
429,1908,1567709918146,1567709920054,1DK1KPLHC
429,1052,1567709919245,1567709920297,1DK1FSSNU
429,1470,1567709918946,1567709920416,1DK1JN2VT
429,890,1567709919645,1567709920535,1DK1H7I7G
429,1442,1567709919546,1567709920988,1DK1HGK0O
429,448,1567709921045,1567709921493,1DK1H3DGD
429,1176,1567709920345,1567709921521,1DK1JFTC5
429,1154,1567709920646,1567709921800,1DK1F5PKE
429,1856,1567709919945,1567709921801,1DK1DELRU
