statusCode,requestResponseLatency,requestTime,responseTime,requestId
429,2121,1567707585261,1567707587382,1DK1IR9TJ
429,2222,1567707585161,1567707587383,1DK1IPMPN
200,8830,1567707578561,1567707587391,1DK1B8MSE
200,10896,1567707577261,1567707588157,1DK1CCHNG
429,3796,1567707585661,1567707589457,1DK1H0BPM
429,3696,1567707585761,1567707589457,1DK1CCVEH
429,4097,1567707585361,1567707589458,1DK1J1U7I
429,4862,1567707585861,1567707590723,1DK1I6LUN
429,4663,1567707586061,1567707590724,1DK1IODOS
429,4564,1567707586161,1567707590725,1DK1D5IK4
429,4464,1567707586261,1567707590725,1DK1HQMLH
200,11964,1567707578761,1567707590725,1DK1AS8US
429,6270,1567707586461,1567707592731,1DK1BR0DI
429,6170,1567707586561,1567707592731,1DK1IKNGI
429,6070,1567707586661,1567707592731,1DK1FJCBR
200,21123,1567707578061,1567707599184,1DK1C099S
200,25687,1567707577661,1567707603348,1DK1CF63C
200,10784,1567707600262,1567707611046,1DK1CJLRK
200,8708,1567707603561,1567707612269,1DK1HVU1A
200,17893,1567707594461,1567707612354,1DK1AV0B3
200,9725,1567707607061,1567707616786,1DK1DTMIJ
200,29751,1567707588561,1567707618312,1DK1INOD9
200,24258,1567707599261,1567707623519,1DK1I2H6J
200,26607,1567707597261,1567707623868,1DK1AH59D
200,20439,1567707603861,1567707624300,1DK1J5P6T
200,19832,1567707610461,1567707630293,1DK1IN2KT
200,29896,1567707600961,1567707630857,1DK1JTA83
200,16538,1567707614661,1567707631199,1DK1CBL3T
200,29125,1567707604061,1567707633186,1DK1HREC6
200,14664,1567707622761,1567707637425,1DK1H7QIO
200,16242,1567707621861,1567707638103,1DK1D207J
200,29070,1567707609961,1567707639031,1DK1BD633
200,22519,1567707617261,1567707639780,1DK1BN1QM
200,28069,1567707617761,1567707645830,1DK1JPOIN
200,7124,1567707643463,1567707650587,1DK1JI1HM
429,338,1567707651663,1567707652001,1DK1EJTJP
200,19216,1567707635661,1567707654877,1DK1H4FND
200,9408,1567707645563,1567707654971,1DK1DMVJH
429,811,1567707655162,1567707655973,1DK1EIDJ3
429,1069,1567707655965,1567707657034,1DK1G338N
200,19140,1567707642063,1567707661203,1DK1GHISN
200,10860,1567707651263,1567707662123,1DK1C59C7
200,18799,1567707644963,1567707663762,1DK1E2568
200,21609,1567707642663,1567707664272,1DK1IBCO7
200,17593,1567707646863,1567707664456,1DK1EG2G3
200,18994,1567707645463,1567707664457,1DK1JHT5J
200,20812,1567707646064,1567707666876,1DK1CLAH7
200,21442,1567707650562,1567707672004,1DK1HPF41
200,19829,1567707654863,1567707674692,1DK1BDUV9
200,18666,1567707656062,1567707674728,1DK1IIJG3
200,8138,1567707666763,1567707674901,1DK1JVR0E
200,12558,1567707664864,1567707677422,1DK1HAUHE
200,10780,1567707667463,1567707678243,1DK1AJ3LS
200,15715,1567707663263,1567707678978,1DK1GD7UV
200,8550,1567707671663,1567707680213,1DK1K0U6A
200,17358,1567707666362,1567707683720,1DK1K1H88
200,21784,1567707664163,1567707685947,1DK1ESV41
200,8072,1567707678263,1567707686335,1DK1GT9S6
200,7991,1567707678763,1567707686754,1DK1F2MFL
200,9249,1567707678462,1567707687711,1DK1DPL3G
200,14794,1567707673863,1567707688657,1DK1H82TU
200,23741,1567707666463,1567707690204,1DK1ESPE3
200,10415,1567707680164,1567707690579,1DK1FTABI
200,28594,1567707662163,1567707690757,1DK1G69U8
200,8956,1567707681863,1567707690819,1DK1HCA88
200,12929,1567707678663,1567707691592,1DK1GLRBE
200,28549,1567707664463,1567707693012,1DK1D3GMP
200,6505,1567707687763,1567707694268,1DK1I6520
200,21441,1567707672963,1567707694404,1DK1DJR1V
200,21825,1567707673963,1567707695788,1DK1CF9IR
200,8620,1567707687463,1567707696083,1DK1DN9OM
200,10988,1567707685263,1567707696251,1DK1FFN54
200,20851,1567707675764,1567707696615,1DK1HGHBH
200,11831,1567707688365,1567707700196,1DK1AQ428
200,12175,1567707688562,1567707700737,1DK1HU3HK
200,29595,1567707672863,1567707702458,1DK1FVVMS
200,14360,1567707688763,1567707703123,1DK1F3UHO
200,12335,1567707691364,1567707703699,1DK1COU31
