,provider,phase,mean thr,target thr,relative thr???
0,ibm,p0,0.0,0.0,nan
1,ibm,p1,0.0,31.4,0.0
2,ibm,p2,57.4,179.6,31.9
3,aws,p0,0.0,0.0,nan
4,aws,p1,0.0,30.9,0.0
5,aws,p2,58.3,179.6,32.5
6,gcf,p0,0.0,0.0,nan
7,gcf,p1,0.0,29.7,0.0
8,gcf,p2,58.4,179.9,32.5
9,azure,p0,0.0,0.0,nan
10,azure,p1,0.0,12.2,0.0
11,azure,p2,2.0,82.5,2.5
